,0
0,24.0
1,21.6
2,34.7
3,33.4
4,36.2
5,28.7
6,22.9
7,27.1
8,16.5
9,18.9
10,15.0
11,18.9
12,21.7
13,20.4
14,18.2
15,19.9
16,23.1
17,17.5
18,20.2
19,18.2
20,13.6
21,19.6
22,15.2
23,14.5
24,15.6
25,13.9
26,16.6
27,14.8
28,18.4
29,21.0
30,12.7
31,14.5
32,13.2
33,13.1
34,13.5
35,18.9
36,20.0
37,21.0
38,24.7
39,30.8
40,34.9
41,26.6
42,25.3
43,24.7
44,21.2
45,19.3
46,20.0
47,16.6
48,14.4
49,19.4
50,19.7
51,20.5
52,25.0
53,23.4
54,18.9
55,35.4
56,24.7
57,31.6
58,23.3
59,19.6
60,18.7
61,16.0
62,22.2
63,25.0
64,33.0
65,23.5
66,19.4
67,22.0
68,17.4
69,20.9
70,24.2
71,21.7
72,22.8
73,23.4
74,24.1
75,21.4
76,20.0
77,20.8
78,21.2
79,20.3
80,28.0
81,23.9
82,24.8
83,22.9
84,23.9
85,26.6
86,22.5
87,22.2
88,23.6
89,28.7
90,22.6
91,22.0
92,22.9
93,25.0
94,20.6
95,28.4
96,21.4
97,38.7
98,43.8
99,33.2
100,27.5
101,26.5
102,18.6
103,19.3
104,20.1
105,19.5
106,19.5
107,20.4
108,19.8
109,19.4
110,21.7
111,22.8
112,18.8
113,18.7
114,18.5
115,18.3
116,21.2
117,19.2
118,20.4
119,19.3
120,22.0
121,20.3
122,20.5
123,17.3
124,18.8
125,21.4
126,15.7
127,16.2
128,18.0
129,14.3
130,19.2
131,19.6
132,23.0
133,18.4
134,15.6
135,18.1
136,17.4
137,17.1
138,13.3
139,17.8
140,14.0
141,14.4
142,13.4
143,15.6
144,11.8
145,13.8
146,15.6
147,14.6
148,17.8
149,15.4
150,21.5
151,19.6
152,15.3
153,19.4
154,17.0
155,15.6
156,13.1
157,41.3
158,24.3
159,23.3
160,27.0
161,50.0
162,50.0
163,50.0
164,22.7
165,25.0
166,50.0
167,23.8
168,23.8
169,22.3
170,17.4
171,19.1
172,23.1
173,23.6
174,22.6
175,29.4
176,23.2
177,24.6
178,29.9
179,37.2
180,39.8
181,36.2
182,37.9
183,32.5
184,26.4
185,29.6
186,50.0
187,32.0
188,29.8
189,34.9
190,37.0
191,30.5
192,36.4
193,31.1
194,29.1
195,50.0
196,33.3
197,30.3
198,34.6
199,34.9
200,32.9
201,24.1
202,42.3
203,48.5
204,50.0
205,22.6
206,24.4
207,22.5
208,24.4
209,20.0
210,21.7
211,19.3
212,22.4
213,28.1
214,23.7
215,25.0
216,23.3
217,28.7
218,21.5
219,23.0
220,26.7
221,21.7
222,27.5
223,30.1
224,44.8
225,50.0
226,37.6
227,31.6
228,46.7
229,31.5
230,24.3
231,31.7
232,41.7
233,48.3
234,29.0
235,24.0
236,25.1
237,31.5
238,23.7
239,23.3
240,22.0
241,20.1
242,22.2
243,23.7
244,17.6
245,18.5
246,24.3
247,20.5
248,24.5
249,26.2
250,24.4
251,24.8
252,29.6
253,42.8
254,21.9
255,20.9
256,44.0
257,50.0
258,36.0
259,30.1
260,33.8
261,43.1
262,48.8
263,31.0
264,36.5
265,22.8
266,30.7
267,50.0
268,43.5
269,20.7
270,21.1
271,25.2
272,24.4
273,35.2
274,32.4
275,32.0
276,33.2
277,33.1
278,29.1
279,35.1
280,45.4
281,35.4
282,46.0
283,50.0
284,32.2
285,22.0
286,20.1
287,23.2
288,22.3
289,24.8
290,28.5
291,37.3
292,27.9
293,23.9
294,21.7
295,28.6
296,27.1
297,20.3
298,22.5
299,29.0
300,24.8
301,22.0
302,26.4
303,33.1
304,36.1
305,28.4
306,33.4
307,28.2
308,22.8
309,20.3
310,16.1
311,22.1
312,19.4
313,21.6
314,23.8
315,16.2
316,17.8
317,19.8
318,23.1
319,21.0
320,23.8
321,23.1
322,20.4
323,18.5
324,25.0
325,24.6
326,23.0
327,22.2
328,19.3
329,22.6
330,19.8
331,17.1
332,19.4
333,22.2
334,20.7
335,21.1
336,19.5
337,18.5
338,20.6
339,19.0
340,18.7
341,32.7
342,16.5
343,23.9
344,31.2
345,17.5
346,17.2
347,23.1
348,24.5
349,26.6
350,22.9
351,24.1
352,18.6
353,30.1
354,18.2
355,20.6
356,17.8
357,21.7
358,22.7
359,22.6
360,25.0
361,19.9
362,20.8
363,16.8
364,21.9
365,27.5
366,21.9
367,23.1
368,50.0
369,50.0
370,50.0
371,50.0
372,50.0
373,13.8
374,13.8
375,15.0
376,13.9
377,13.3
378,13.1
379,10.2
380,10.4
381,10.9
382,11.3
383,12.3
384,8.8
385,7.2
386,10.5
387,7.4
388,10.2
389,11.5
390,15.1
391,23.2
392,9.7
393,13.8
394,12.7
395,13.1
396,12.5
397,8.5
398,5.0
399,6.3
400,5.6
401,7.2
402,12.1
403,8.3
404,8.5
405,5.0
406,11.9
407,27.9
408,17.2
409,27.5
410,15.0
411,17.2
412,17.9
413,16.3
414,7.0
415,7.2
416,7.5
417,10.4
418,8.8
419,8.4
420,16.7
421,14.2
422,20.8
423,13.4
424,11.7
425,8.3
426,10.2
427,10.9
428,11.0
429,9.5
430,14.5
431,14.1
432,16.1
433,14.3
434,11.7
435,13.4
436,9.6
437,8.7
438,8.4
439,12.8
440,10.5
441,17.1
442,18.4
443,15.4
444,10.8
445,11.8
446,14.9
447,12.6
448,14.1
449,13.0
450,13.4
451,15.2
452,16.1
453,17.8
454,14.9
455,14.1
456,12.7
457,13.5
458,14.9
459,20.0
460,16.4
461,17.7
462,19.5
463,20.2
464,21.4
465,19.9
466,19.0
467,19.1
468,19.1
469,20.1
470,19.9
471,19.6
472,23.2
473,29.8
474,13.8
475,13.3
476,16.7
477,12.0
478,14.6
479,21.4
480,23.0
481,23.7
482,25.0
483,21.8
484,20.6
485,21.2
486,19.1
487,20.6
488,15.2
489,7.0
490,8.1
491,13.6
492,20.1
493,21.8
494,24.5
495,23.1
496,19.7
497,18.3
498,21.2
499,17.5
500,16.8
501,22.4
502,20.6
503,23.9
504,22.0
505,11.9
